Team #,CMP,Event,P(DCMP)
8280,2024micmp,FIRST in Michigan State Championship,1
8285,2024micmp,FIRST in Michigan State Championship,1
8286,2024micmp,FIRST in Michigan State Championship,1
8297,2024micmp,FIRST in Michigan State Championship,0
830,2024micmp,FIRST in Michigan State Championship,0
8300,2024micmp,FIRST in Michigan State Championship,0
8352,2024micmp,FIRST in Michigan State Championship,1
8362,2024micmp,FIRST in Michigan State Championship,0
8364,2024micmp,FIRST in Michigan State Championship,0
8373,2024micmp,FIRST in Michigan State Championship,1
8374,2024micmp,FIRST in Michigan State Championship,0
8385,2024micmp,FIRST in Michigan State Championship,0
8397,2024micmp,FIRST in Michigan State Championship,0
8423,2024micmp,FIRST in Michigan State Championship,0
8424,2024micmp,FIRST in Michigan State Championship,1
8426,2024micmp,FIRST in Michigan State Championship,0
8427,2024micmp,FIRST in Michigan State Championship,1
85,2024micmp,FIRST in Michigan State Championship,1
8517,2024micmp,FIRST in Michigan State Championship,1
8519,2024micmp,FIRST in Michigan State Championship,0
8522,2024micmp,FIRST in Michigan State Championship,0
857,2024micmp,FIRST in Michigan State Championship,1
858,2024micmp,FIRST in Michigan State Championship,1
8608,2024micmp,FIRST in Michigan State Championship,1
8611,2024micmp,FIRST in Michigan State Championship,0
8612,2024micmp,FIRST in Michigan State Championship,1
862,2024micmp,FIRST in Michigan State Championship,1
8623,2024micmp,FIRST in Michigan State Championship,0
8728,2024micmp,FIRST in Michigan State Championship,0
8767,2024micmp,FIRST in Michigan State Championship,0
8774,2024micmp,FIRST in Michigan State Championship,0
8826,2024micmp,FIRST in Michigan State Championship,0
8832,2024micmp,FIRST in Michigan State Championship,0
8873,2024micmp,FIRST in Michigan State Championship,1
8895,2024micmp,FIRST in Michigan State Championship,0
8899,2024micmp,FIRST in Michigan State Championship,0
894,2024micmp,FIRST in Michigan State Championship,1
904,2024micmp,FIRST in Michigan State Championship,0
910,2024micmp,FIRST in Michigan State Championship,1
9106,2024micmp,FIRST in Michigan State Championship,0
9148,2024micmp,FIRST in Michigan State Championship,0
9176,2024micmp,FIRST in Michigan State Championship,1
9182,2024micmp,FIRST in Michigan State Championship,0
9183,2024micmp,FIRST in Michigan State Championship,0
9188,2024micmp,FIRST in Michigan State Championship,0
9203,2024micmp,FIRST in Michigan State Championship,0
9204,2024micmp,FIRST in Michigan State Championship,0
9205,2024micmp,FIRST in Michigan State Championship,0
9206,2024micmp,FIRST in Michigan State Championship,0
9207,2024micmp,FIRST in Michigan State Championship,0
9208,2024micmp,FIRST in Michigan State Championship,1
9209,2024micmp,FIRST in Michigan State Championship,0
9210,2024micmp,FIRST in Michigan State Championship,0
9211,2024micmp,FIRST in Michigan State Championship,0
9212,2024micmp,FIRST in Michigan State Championship,0
9215,2024micmp,FIRST in Michigan State Championship,1
9223,2024micmp,FIRST in Michigan State Championship,0
9225,2024micmp,FIRST in Michigan State Championship,0
9226,2024micmp,FIRST in Michigan State Championship,0
